timestamp,open,high,low,close,volume,vw,n
1262541600,1.79974,1.80231,1.79773,1.79832,95.0,1.79832,95
1262545200,1.7982,1.80085,1.79721,1.7977,156.0,1.7977,156
1262548800,1.7976,1.7978,1.79663,1.79701,43.0,1.79701,43
1262552400,1.79701,1.79727,1.79248,1.79311,444.0,1.79311,444
1262556000,1.79304,1.79405,1.79108,1.79289,869.0,1.79289,869
1262559600,1.79279,1.79919,1.7923,1.7988,1239.0,1.7988,1239
1262563200,1.79886,1.79981,1.79592,1.79844,2569.0,1.79844,2569
1262566800,1.79839,1.80092,1.79736,1.79768,2321.0,1.79768,2321
1262570400,1.79763,1.79899,1.79522,1.79769,1424.0,1.79769,1424
1262574000,1.79765,1.79806,1.79418,1.79482,918.0,1.79482,918
1262577600,1.79476,1.79515,1.79303,1.79409,1151.0,1.79409,1151
1262581200,1.79404,1.79489,1.79171,1.7927,910.0,1.7927,910
1262584800,1.79267,1.79404,1.79065,1.79092,1333.0,1.79092,1333
1262588400,1.79088,1.7914,1.78686,1.78767,2462.0,1.78767,2462
1262592000,1.78763,1.78988,1.78609,1.78711,3425.0,1.78711,3425
1262595600,1.78715,1.7916,1.78686,1.78976,3677.0,1.78976,3677
1262599200,1.78971,1.79213,1.78759,1.78831,3055.0,1.78831,3055
1262602800,1.78835,1.79113,1.78835,1.79097,2236.0,1.79097,2236
1262606400,1.79101,1.79127,1.78116,1.78274,3125.0,1.78274,3125
1262610000,1.78268,1.7843,1.77923,1.77983,2441.0,1.77983,2441
1262613600,1.77975,1.78227,1.77753,1.78014,2514.0,1.78014,2514
1262617200,1.78007,1.78104,1.76416,1.76451,4225.0,1.76451,4225
1262620800,1.76454,1.76674,1.76247,1.76381,2549.0,1.76381,2549
1262624400,1.76389,1.7679,1.76355,1.7679,1002.0,1.7679,1002
1262628000,1.76795,1.76862,1.76418,1.76418,842.0,1.76418,842
1262631600,1.76425,1.76771,1.76379,1.76581,812.0,1.76581,812
1262635200,1.76573,1.76634,1.76271,1.76445,704.0,1.76445,704
1262638800,1.76445,1.76449,1.76093,1.76237,860.0,1.76237,860
1262642400,1.76233,1.76503,1.76228,1.76381,472.0,1.76381,472
1262646000,1.76377,1.76676,1.76361,1.76574,780.0,1.76574,780
1262649600,1.7657,1.76593,1.76098,1.76182,1873.0,1.76182,1873
1262653200,1.76186,1.76225,1.75931,1.7609,1500.0,1.7609,1500
1262656800,1.76086,1.76459,1.76074,1.76403,1201.0,1.76403,1201
1262660400,1.76408,1.76421,1.76219,1.76316,748.0,1.76316,748
1262664000,1.76311,1.76466,1.76072,1.76169,1269.0,1.76169,1269
1262667600,1.76165,1.76436,1.76138,1.76426,1926.0,1.76426,1926
1262671200,1.7643,1.7672,1.76319,1.76443,1902.0,1.76443,1902
1262674800,1.76439,1.76589,1.76173,1.76268,2489.0,1.76268,2489
1262678400,1.76272,1.76397,1.75498,1.75518,4153.0,1.75518,4153
1262682000,1.75512,1.7596,1.75225,1.7538,3095.0,1.7538,3095
1262685600,1.75376,1.75441,1.74868,1.75091,2587.0,1.75091,2587
1262689200,1.75086,1.7519,1.75027,1.75108,1963.0,1.75108,1963
1262692800,1.75114,1.752,1.7497,1.75162,1744.0,1.75162,1744
1262696400,1.75171,1.75579,1.74764,1.75579,2469.0,1.75579,2469
