timestamp,open,high,low,close,volume,vw,n
1262559600,1117.7,1120.5,1117.2,1119.0,237.0,1119.0,237
1262563200,1119.2,1120.2,1119.0,1119.7,109.0,1119.7,109
1262566800,1119.5,1120.0,1118.0,1118.2,104.0,1118.2,104
1262570400,1117.9,1119.7,1117.9,1119.7,138.0,1119.7,138
1262574000,1119.5,1119.7,1118.7,1119.2,50.0,1119.2,50
1262577600,1119.5,1119.5,1118.4,1118.7,42.0,1118.7,42
1262581200,1118.4,1119.2,1118.2,1118.7,54.0,1118.7,54
1262584800,1118.4,1118.9,1117.9,1118.4,54.0,1118.4,54
1262588400,1118.7,1122.0,1118.7,1120.7,284.0,1120.7,284
1262592000,1120.9,1123.7,1120.4,1122.7,402.0,1122.7,402
1262595600,1122.5,1123.0,1121.4,1121.9,215.0,1121.9,215
1262599200,1122.2,1122.4,1121.4,1122.4,134.0,1122.4,134
1262602800,1122.2,1122.4,1121.4,1121.9,156.0,1121.9,156
1262606400,1121.7,1122.2,1121.2,1121.4,170.0,1121.4,170
1262610000,1121.2,1122.9,1120.7,1122.9,634.0,1122.9,634
1262613600,1122.7,1129.2,1122.7,1128.2,1954.0,1128.2,1954
1262617200,1128.5,1132.2,1127.2,1130.7,2191.0,1130.7,2191
1262620800,1131.0,1133.7,1131.0,1132.5,1513.0,1132.5,1513
1262624400,1132.7,1133.5,1132.2,1133.2,738.0,1133.2,738
1262628000,1133.0,1133.7,1131.5,1131.7,900.0,1131.7,900
1262631600,1131.5,1133.7,1131.5,1132.5,837.0,1132.5,837
1262635200,1132.7,1133.5,1131.5,1133.0,1394.0,1133.0,1394
1262638800,1132.7,1133.0,1132.2,1132.5,562.0,1132.5,562
1262642400,1132.2,1132.7,1132.0,1132.2,37.0,1132.2,37
1262646000,1132.0,1132.5,1131.2,1132.2,96.0,1132.2,96
1262649600,1132.5,1132.5,1130.9,1131.4,124.0,1131.4,124
1262653200,1131.7,1131.7,1131.2,1131.4,64.0,1131.4,64
