timestamp,open,high,low,close,volume,vw,n
1262574000,3.3275,3.3275,3.3275,3.3275,1.0,3.3275,1
1262581200,3.32611,3.33352,3.32611,3.33352,2.0,3.33352,2
1262584800,3.33402,3.33402,3.33402,3.33402,1.0,3.33402,1
1262588400,3.32374,3.32374,3.32374,3.32374,1.0,3.32374,1
1262592000,3.32917,3.32966,3.32867,3.32966,3.0,3.32966,3
1262595600,3.35043,3.35043,3.35043,3.35043,1.0,3.35043,1
1262599200,3.35635,3.35635,3.35635,3.35635,1.0,3.35635,1
1262602800,3.36086,3.36086,3.36086,3.36086,1.0,3.36086,1
1262606400,3.36037,3.36037,3.36037,3.36037,1.0,3.36037,1
1262610000,3.35401,3.36093,3.35401,3.36093,4.0,3.36093,4
1262613600,3.35849,3.36048,3.35308,3.35654,10.0,3.35654,10
1262617200,3.35409,3.35953,3.34325,3.35953,9.0,3.35953,9
1262620800,3.35166,3.35514,3.34971,3.35514,4.0,3.35514,4
1262624400,3.34974,3.34974,3.34484,3.34829,4.0,3.34829,4
1262628000,3.34928,3.34928,3.34732,3.34732,2.0,3.34732,2
1262631600,3.35474,3.35574,3.35376,3.35574,3.0,3.35574,3
1262635200,3.35527,3.35527,3.34937,3.34937,2.0,3.34937,2
1262638800,3.35728,3.35728,3.34942,3.34942,2.0,3.34942,2
1262653200,3.34415,3.34415,3.34415,3.34415,1.0,3.34415,1
1262678400,3.35329,3.35329,3.33458,3.33458,3.0,3.33458,3
1262682000,3.34299,3.34299,3.33266,3.33266,10.0,3.33266,10
1262696400,3.33673,3.34265,3.33673,3.33921,19.0,3.33921,19
1262700000,3.33923,3.33923,3.33875,3.33875,2.0,3.33875,2
1262703600,3.3447,3.36097,3.3447,3.36097,4.0,3.36097,4
1262707200,3.35902,3.36642,3.34672,3.34969,12.0,3.34969,12
1262710800,3.3566,3.3566,3.35613,3.35613,2.0,3.35613,2
1262714400,3.35714,3.35962,3.35714,3.35962,3.0,3.35962,3
1262718000,3.37146,3.37146,3.36851,3.37051,4.0,3.37051,4
1262721600,3.35723,3.35723,3.35723,3.35723,1.0,3.35723,1
1262739600,3.3801,3.3801,3.3801,3.3801,1.0,3.3801,1
1262743200,3.38853,3.38853,3.38853,3.38853,1.0,3.38853,1
